m1,m2,m3,m4,m5,m6,repository,version,ncloc,code_quality,testing_status,Maintainability,Reliability,total
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,07-18-2022-15-12-55,2022,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,07-20-2022-01-04-51,2022,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,07-20-2022-01-20-23,2022,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,07-20-2022-01-33-27,2022,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,07-29-2022-00-17-31,2394,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-14-59,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-15-07,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-25-23,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,0.0,0.0,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-27-27,2685,0.5940000000000001,0.5,0.29700000000000004,0.25,0.547
0.8,0.0,1.0,0.0,0.0,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-27-31,2685,0.5940000000000001,0.5,0.29700000000000004,0.25,0.547
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-29-21,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-32-42,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-42-44,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-45-05,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-45-08,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-01-2022-22-46-59,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
0.8,0.0,1.0,1.0,0.64,1.0,fga-eps-mds-2022-1-MeasureSoftGram-CLI,08-03-2022-21-40-52,2685,0.5940000000000001,0.91,0.29700000000000004,0.455,0.752
